id,name1,name2
1,Bremer, P.-T.
2,Pang, A.
3,Kirby, R.M.
4,Munzner, T.
5,Bongshin Lee
6,Correa, C.
7,Zhicheng Liu
8,Eick, S.G.
9,Grinstein, G.
10,Mueller, K.
11,Andrienko, N.
12,Shixia Liu
13,Groller, E.
14,Keim, D.A.
15,Andrienko, G.
16,Laidlaw, D.H.
17,Theisel, H.
18,Pfister, H.
19,Slingsby, A.
20,Preim, B.
21,Vilanova, A.
22,Kaufman, A.
23,Heer, J.
24,Ward, M.O.
25,Kwan-Liu Ma
26,Hege, H.-C.
27,Maciejewski, R.
28,Kindlmann, G.
29,Scheuermann, G.
30,Huamin Qu
31,Strasser, W.
32,Wenwen Dou
33,Machiraju, R.
34,Chang, R.
35,Weaver, C.
36,Schreck, T.
37,Silver, D.
38,Ertl, T.
39,Stasko, J.
40,Thomas, J.
41,van Wijk, J.J.
42,Tricoche, X.
43,Hagen, H.
44,Fekete, J.
45,Ebert, D.S.
46,Hansen, C.
47,Treinish, L.A.
48,Shneiderman, B.
49,Gross, M.
50,Banks, D.C.
51,Wood, J.
52,Peikert, R.
53,Elmqvist, N.
54,Rheingans, P.
55,Crossno, P.
56,Wattenberg, M.
57,Han-Wei Shen
58,North, C.
59,Carpendale, S.
60,Varshney, A.
61,Rundensteiner, E.A.
62,Seidel, H.-P.
63,Nielson, G.M.
64,Wei Chen
65,Bertini, E.
66,Agrawala, M.
67,Joy, K.I.
68,Yagel, R.
69,MacEachren, A.M.
70,Tory, M.
71,van Liere, R.
72,Isenberg, P.
73,Hanrahan, P.
74,Yingcai Wu
75,Ribarsky, W.
76,Garth, C.
77,Hadwiger, M.
78,Silva, C.T.
79,Dykes, J.
80,Hamann, B.
81,Hanson, A.J.
82,Pak Chung Wong
83,Max, N.
84,Whitaker, R.T.
85,Xiaoru Yuan
86,Wegenkittl, R.
87,Jing Yang
88,Westermann, R.
89,Bruckner, S.
90,Weiskopf, D.
91,Lindstrom, P.
92,Telea, A.
93,Moorhead, R.J.
94,Crawfis, R.
95,Moller, T.
96,Matkovic, K.
97,Pascucci, V.
98,Chen, M.
99,Hauser, H.
100,Plaisant, C.
101,van Ham, F.
102,Post, F.H.
103,Manocha, D.